starname,mag3_6,mag4_5,mag5_8,mag8_0,mag24
2dFS3816,15.053,99.999,99.999,99.999,99.999
2dFS3817,16.648,16.728,99.999,99.999,99.999
2dFS3820,16.374,16.148,99.999,99.999,99.999
2dFS3821,15.013,14.8,14.593,99.999,99.999
2dFS3825,15.137,14.984,14.713,99.999,99.999
2dFS3826,17.387,17.083,99.999,99.999,99.999
2dFS3827,17.105,99.999,99.999,99.999,99.999
2dFS3828,16.583,16.664,99.999,99.999,99.999
2dFS3831,13.41,13.197,12.887,12.653,99.999
2dFS3832,16.293,16.597,99.999,99.999,99.999
2dFS3837,17.448,99.999,99.999,99.999,99.999
