SourceName,mag3_6,dmag3_6,mag4_5,dmag4_5,mag5_8,dmag5_8,mag8_0,dmag8_0,mag24,dmag24
N83-N84_J011354.08-731757.3,14.906999588,0.1949999928,14.9340000153,0.0549999997,12.7419996262,0.0540000014,11.2600002289,0.0680000037,99.999,99.999
N83-N84_J011354.69-731758.7,16.2940006256,0.0759999976,16.4449996948,0.125,13.5860004425,0.1070000008,12.3529996872,0.1230000034,99.999,99.999
N83-N84_J011355.46-731757.2,15.1009998322,0.2039999962,15.1820001602,0.0890000015,12.9530000687,0.0520000011,11.4099998474,0.0599999987,99.999,99.999
N83-N84_J011356.57-731756.4,14.9729995728,0.050999999,14.4149999619,0.0289999992,12.6850004196,0.0579999983,11.3859996796,0.1099999994,99.999,99.999
N83-N84_J011358.20-731514.2,99.9990005493,99.9990005493,15.2110004425,0.2160000056,13.1350002289,0.1169999987,99.9990005493,99.9990005493,99.999,99.999
N83-N84_J011406.48-731941.0,14.4090003967,0.0900000036,14.3109998703,0.0489999987,12.001999855,0.050999999,10.5290002823,0.0759999976,6.882,0.01748
N83-N84_J011406.69-731723.7,16.7800006866,0.2090000063,16.4610004425,0.1280000061,14.3830003738,0.1949999928,13.001999855,0.1599999964,99.999,99.999
N83-N84_J011407.99-731452.9,16.5739994049,0.1190000027,16.5380001068,0.1899999976,14.4960002899,0.1720000058,99.9990005493,99.9990005493,9.075,0.03914
N83-N84_J011408.39-731854.0,15.390999794,0.1469999999,15.2869997025,0.112999998,12.9849996567,0.1350000054,11.5279998779,0.074000001,8.953,0.04426
N83-N84_J011409.73-731928.2,17.5069999695,0.1010000035,17.357000351,0.1220000014,14.8669996262,0.1840000004,99.9990005493,99.9990005493,99.999,99.999
N83-N84_J011421.25-731538.8,12.2930002213,0.0250000004,11.2469997406,0.0240000002,10.4020004272,0.0189999994,9.2080001831,0.0250000004,5.289,0.01382
N83-N84_J011421.64-731353.3,15.2170000076,0.1369999945,14.7460002899,0.0500000007,13.1330003738,0.1010000035,11.8109998703,0.1089999974,7.932,0.02412
N83-N84_J011422.03-731538.8,13.125,0.0219999999,12.232000351,0.0189999994,11.4409999847,0.0270000007,10.517999649,0.0350000001,99.999,99.999
N83-N84_J011425.03-731529.6,14.5380001068,0.050999999,13.7910003662,0.0299999993,12.8140001297,0.0549999997,11.5349998474,0.075000003,6.358,0.01946
N83-N84_J011431.42-731346.1,15.718000412,0.1099999994,15.7860002518,0.0719999969,13.6770000458,0.0599999987,12.1029996872,0.064000003,8.843,0.0385
N83-N84_J011433.53-732000.9,14.888999939,0.0480000004,14.6420001984,0.0359999985,12.7030000687,0.0370000005,10.9189996719,0.0399999991,6.407,0.01676
N83-N84_J011433.65-731749.2,17.8959999084,0.1420000046,17.6679992676,0.2039999962,15.2329998016,0.1650000066,13.8210000992,0.1430000067,99.999,99.999
N83-N84_J011438.72-731615.0,13.906999588,0.057,13.1149997711,0.0299999993,11.9720001221,0.0439999998,10.6540002823,0.0930000022,6.348,0.01242
N83-N84_J011439.37-731829.0,99.9990005493,99.9990005493,11.9580001831,0.0529999994,10.7600002289,0.0810000002,9.1840000153,0.2049999982,99.999,99.999
N83-N84_J011443.03-731620.1,18.1959991455,0.2129999995,18.0939998627,0.1920000017,15.5389995575,0.1689999998,14.1520004272,0.2129999995,99.999,99.999
N83-N84_J011444.40-731622.3,17.3549995422,0.1720000058,17.7110004425,0.150000006,15.0679998398,0.1689999998,99.9990005493,99.9990005493,99.999,99.999
N83-N84_J011449.53-732014.1,99.9990005493,99.9990005493,15.9230003357,0.1360000074,13.1450004578,0.1539999992,11.6759996414,0.1040000021,99.999,99.999
N83-N84_J011454.18-731804.5,17.6800003052,0.1439999938,17.9659996033,0.1389999986,14.954000473,0.1550000012,13.4799995422,0.1840000004,99.999,99.999
N83-N84_J011454.42-731846.4,16.736000061,0.1030000001,17.0580005646,0.1070000008,14.0769996643,0.1120000035,12.607000351,0.123999998,8.969,0.0465
N83-N84_J011454.75-731851.8,16.781999588,0.150000006,17.0659999847,0.1620000005,14.0220003128,0.1099999994,12.501999855,0.1340000033,8.904,0.03983
N83-N84_J011455.24-731904.8,16.6509990692,0.1790000051,16.638999939,0.1169999987,14.3260002136,0.0920000002,12.7589998245,0.1089999974,99.999,99.999
N83-N84_J011456.18-731933.8,13.75,0.0670000017,13.1040000916,0.0250000004,11.7709999084,0.0439999998,10.2550001144,0.0560000017,6.198,0.01408
N83-N84_J011456.73-731829.5,17.6399993896,0.1640000045,17.6399993896,0.1529999971,14.8669996262,0.112999998,13.3249998093,0.199000001,99.999,99.999
N83-N84_J011458.58-731942.0,17.3379993439,0.1490000039,16.954000473,0.1689999998,14.501999855,0.150000006,13.0620002747,0.1889999956,99.999,99.999
N83-N84_J011459.19-732019.6,13.892999649,0.0540000014,13.5500001907,0.0260000005,11.388999939,0.0250000004,9.9130001068,0.0299999993,5.153,0.01105
N83-N84_J011459.37-731843.5,17.327999115,0.1199999973,17.6539993286,0.174999997,14.3310003281,0.126000002,12.875,0.1860000044,9.339,0.0427
N83-N84_J011506.51-731727.3,17.6439990997,0.1829999983,17.7630004883,0.1979999989,15.2939996719,0.1420000046,13.8620004654,0.1899999976,99.999,99.999
N83-N84_J011526.50-731835.8,15.6809997559,0.200000003,15.8870000839,0.0810000002,13.9090003967,0.1089999974,12.248000145,0.1280000061,7.562,0.02292
N83-N84_J011325.14-731949.0,16.5680007935,0.0579999983,16.0599994659,0.0500000007,15.7770004272,0.1159999967,13.9160003662,0.0729999989,9.985,0.06847
N83-N84_J011340.49-731804.1,15.3800001144,0.1410000026,14.4399995804,0.0329999998,13.2989997864,0.075000003,11.9960002899,0.1220000014,99.999,99.999
